Pstng Date,Name,Category,Category_Type,Amount in USD,DocumentNo,Document Header Text,Reference,Assignment,Z_Score,Avg_For_Category,Deviation_Pct
2025-01-10,ID10,Bank charges,Outflow,-432.37838,2000000384,78675600015,HSBC 7-06823007,78675600015,21.044153410148056,-1.0155653055390113,42475.1
2025-01-10,KR10,AP,Outflow,-58348.975320000005,2000330247,78674600023,HSBC2C000323007,78674600023,4.109653829648745,-547.5099981885148,10557.2
2025-01-13,VN20,AP,Outflow,-68010.9795,2000001264,78801400063,HSBC2HSBC223009,78801400063,4.7966172527963495,-547.5099981885148,12321.9
2025-01-13,TW10,AP,Outflow,-61958.56804999999,2000196800,78802400039,HSBC TWD0123010,200019,4.366293977155853,-547.5099981885148,11216.4
2025-01-17,TW10,AP,Outflow,-81733.97907,2000197107,78952700060,HSBC TWD0123012,5000,5.772315315520672,-547.5099981885148,14828.3
2025-01-18,ID10,Bank charges,Outflow,-847.4100500000001,2000001652,78984300167,HSBC 7-06823013,78984300167,41.291587440214656,-1.0155653055390113,83342.2
2025-01-20,KR10,AP,Outflow,-57050.632719999994,2000331110,79065200054,HSBC2C000323015,79065200054,4.017342352619932,-547.5099981885148,10320.0
2025-01-20,KR10,AP,Outflow,-59302.63138,2000331109,79065200053,HSBC2C000323015,79065200053,4.177458274697438,-547.5099981885148,10731.3
2025-01-20,KR10,AP,Outflow,-71313.29089999999,2000331116,79065200060,HSBC2C000323015,79065200060,5.031409859110804,-547.5099981885148,12925.0
2025-01-23,TH10,Tax payable,Outflow,-235668.50912,2000055348,79180400047,HSBC CUR0123015,79180400047,8.632129613333976,-5574.598178655822,4127.5
2025-01-27,KR10,AP,Outflow,-59484.552800000005,2000331318,79339900031,HSBC2C000323018,79339900031,4.190392792122484,-547.5099981885148,10764.6
2025-01-27,KR10,AP,Outflow,-68310.62602,2000331317,79339900030,HSBC2C000323018,79339900030,4.817921963007462,-547.5099981885148,12376.6
2025-01-27,MY10,AR,Inflow,707059.51397,2000000500,79340800020,HSBC HSBC123022,79340800020,3.465313648972073,47011.68831110965,1404.0
